GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JavaTetrisClient,tetrisclient,HighScoreScreen,209,0,8,0,42,0,7,0,3,0
JavaTetrisClient,tetrisclient,SplashScreen,62,0,0,0,17,0,3,0,3,0
JavaTetrisClient,tetrisclient,HighScoreScreen.ScoreEntry,9,0,0,0,1,0,1,0,1,0
JavaTetrisClient,tetrisclient,PlayScreen,927,211,72,22,161,45,64,13,23,4
JavaTetrisClient,tetrisclient,ScoreManager,46,51,3,1,12,14,4,6,2,6
JavaTetrisClient,tetrisclient,ScoreManager.new TypeToken() {...},3,0,0,0,1,0,1,0,1,0
JavaTetrisClient,tetrisclient,TetrisAI.Move,12,0,0,0,5,0,1,0,1,0
JavaTetrisClient,tetrisclient,PureGame,103,0,10,0,24,0,18,0,13,0
JavaTetrisClient,tetrisclient,TetrisAI,372,0,54,0,66,0,35,0,8,0
JavaTetrisClient,tetrisclient,Main,391,31,4,0,73,15,29,8,27,8
JavaTetrisClient,tetrisclient,PlayScreen.TetrominoShapes,419,0,2,0,5,0,4,0,3,0
JavaTetrisClient,tetrisclient,SameTetromino,450,0,4,0,18,0,7,0,5,0
JavaTetrisClient,tetrisclient,PlayScreen.Tetromino,472,0,38,0,62,0,31,0,12,0
JavaTetrisClient,tetrisclient,ScoreManager.ScoreEntry,0,9,0,0,0,1,0,1,0,1
JavaTetrisClient,tetrisclient,TwoPlayerScreen,408,0,34,0,87,0,30,0,10,0
JavaTetrisClient,tetrisclient,Configuration,90,389,14,4,24,79,18,1,9,1
JavaTetrisClient,tetrisclient,TetrisClient,177,0,14,0,49,0,11,0,4,0
JavaTetrisClient,tetrisclient,AudioManager,101,9,15,1,29,5,13,4,5,4
JavaTetrisClient,tetrisclient,OpMove,9,0,0,0,1,0,1,0,1,0
